Timestamp,F3,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
3.093284368515014,14,56,10,35,-7,-10,15,5,3,-1,17,6,-2,sil
12.70009160041809,-16,-38,19,-38,12,-97,10,2,-5,-2,-17,7,9,goodbye
3.1015334129333496,17,-4,49,11,-2,-1,-18,-10,-16,-16,-2,-15,0,sil
29.84113574028015,13,4,19,4,5,-9,-25,-8,-16,-10,0,-8,-11,sil
4.148707866668701,2,-5,-11,2,0,-7,9,13,8,-10,-13,4,7,sil
14.979753255844116,14,4,0,-9,-20,3,-4,-20,-17,-1,0,-5,8,goodbye
16.210411071777344,27,-25,13,12,-4,-47,-12,-6,30,9,29,38,49,sil
26.35794949531555,9,-23,9,-16,-14,-52,-29,-16,5,1,9,23,19,hello
3.6877942085266113,-5,3,0,-14,-15,34,-11,-29,-18,6,4,0,-1,sil
18.611173391342163,-32,-48,-14,-29,-3,14,-5,6,2,-12,-19,0,-4,sil
7.880450010299683,1,-6,-6,13,-9,60,-16,-18,-24,-4,0,-5,3,sil
9.365647792816162,-4,-2,11,-17,-1,-33,-4,6,-4,-1,5,1,-5,sil
19.68013453483581,20,55,5,32,0,-9,3,-14,6,12,27,28,21,sil
18.956772327423096,-17,-2,-41,6,-12,-3,-5,-9,-26,-7,-15,-30,-24,sil
21.361236810684204,9,25,15,5,-8,9,10,11,11,13,4,0,-4,sil
22.00113797187805,-16,-22,-12,3,0,7,4,29,23,4,-2,1,4,sil
25.82078981399536,14,33,17,15,0,-11,9,21,11,33,18,27,19,sil
18.31707549095153,-10,1,0,-4,3,27,45,20,5,-5,-14,-5,1,sil
16.08169674873352,6,2,0,-4,13,9,27,29,21,4,13,13,14,sil
18.219563245773315,21,8,19,7,0,-2,5,19,10,11,17,21,14,sil
15.792290687561035,-6,-15,-23,-44,-4,-10,-17,-14,-1,-13,-25,-13,-10,sil
18.35115551948548,-16,-35,-9,-17,-1,-3,-36,-39,-35,-30,-19,-39,-27,sil
9.832085371017456,19,0,6,2,-7,15,16,22,8,60,12,27,40,goodbye
3.5099918842315674,-2,-14,1,-7,-19,-28,10,8,-2,10,-2,-8,-5,sil
9.280104637145996,-10,1,3,15,-16,24,-15,-12,-14,3,-1,-12,-3,goodbye
26.8126323223114,9,13,-2,-39,-1,48,-16,-29,-18,1,-10,-23,-20,sil
5.117035150527954,21,4,25,5,-17,8,-8,-21,-11,1,8,21,5,sil
