Timestamp,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
13.812325477600098,-17,-15,-22,-16,-1,-14,1,13,5,3,-8,-5,4,-2,sil
13.812325477600098,13,3,1,1,0,-14,-3,12,8,5,22,20,19,12,sil
13.827526330947876,14,14,1,1,-8,-15,-16,-1,0,-15,23,20,13,0,sil
13.827526330947876,-2,9,-1,0,0,-5,-13,-1,-7,-21,0,6,-5,-8,sil
13.842493772506714,-3,6,13,15,3,1,-1,1,-12,-19,-5,3,-15,-2,sil
13.842493772506714,6,10,18,25,-4,-2,3,-10,-20,-23,10,2,-11,-7,sil
13.858200550079346,9,20,14,14,-8,-3,-2,-19,-26,-15,17,4,-9,-12,sil
13.858200550079346,9,26,27,14,-10,-1,-5,-13,-18,0,10,11,-10,0,sil
13.874201536178589,11,23,29,29,-14,-1,-1,0,-14,2,4,6,-9,8,sil
13.874201536178589,10,16,16,32,-7,4,-5,3,-21,0,-2,-5,-6,0,sil
13.890261888504028,8,9,6,33,-8,8,-10,-8,-12,8,0,-6,2,-3,sil
13.890261888504028,3,0,6,24,-28,0,-10,-20,-3,13,4,0,2,6,sil
13.906076908111572,-12,-11,-3,-2,-20,1,-9,-16,-19,-1,-15,-14,-16,-5,sil
13.906076908111572,-30,-25,-31,-22,17,5,-1,-6,-25,-8,-36,-40,-26,-25,sil
17.812711477279663,0,7,11,16,-7,4,-3,-9,-6,8,10,11,1,12,please
17.827754497528076,1,0,3,13,0,12,-4,-11,-9,3,-1,-1,-14,-2,please
17.827754497528076,-4,-2,-13,-2,-4,5,-5,-6,-12,1,-6,-5,-20,-7,please
17.84376859664917,-19,-2,-6,-9,-17,5,3,10,-16,-1,-5,-1,-13,-5,please
17.84376859664917,-15,-6,-3,9,-4,14,24,14,5,11,2,-3,2,0,please
17.84376859664917,-4,-6,-6,2,2,13,23,15,14,10,-5,-3,4,4,please
17.859568119049072,-8,-6,-12,-16,-10,0,9,15,1,-3,-19,-10,-3,-6,please
17.860567808151245,-20,-22,-27,-20,-13,-6,11,0,0,-1,-19,-25,-9,-16,please
17.874666213989258,-22,-36,-24,-40,-13,0,12,1,0,1,-18,-23,-16,-9,please
